"","X","dint","dsack","fumtot","fumrec","tds","points","fgperc","xpperc","ydsperpass","ydsperrush"
"70","CHI",24,41,21,12,32,313,0.9,1,6.8,4.20042643923241
"102","CHI",19,32,21,11,45,393,0.896551724137931,1,7.66896551724138,4.62034739454094
"134","CHI",14,39,18,6,38,297,0.75,1,6.61475409836066,4.09039548022599
"166","CHI",9,37,18,7,34,331,0.846153846153846,1,7.23355263157895,3.95578947368421
"7","CIN",16,27,21,7,34,306,0.8,0.9375,6.7593220338983,3.55607476635514
"39","CIN",12,45,17,7,31,318,0.891891891891892,0.970588235294118,6.55514018691589,3.90769230769231
"71","CIN",14,50,19,8,39,367,0.857142857142857,1,7.0369685767098,4.05813953488372
"103","CIN",20,43,20,9,47,388,0.818181818181818,1,7.36115843270869,3.64864864864865
"135","CIN",20,20,20,8,39,351,0.8125,1,7.03168316831683,4.36382113821138
"167","CIN",21,42,17,8,49,411,0.851851851851852,1,8.12673267326733,3.85470085470085
"8","CLE",19,29,28,16,27,259,0.821428571428571,1,6.70083682008368,4.25959367945824
"40","CLE",9,31,20,14,19,206,0.888888888888889,1,5.78947368421053,3.51612903225806
"72","CLE",17,37,21,12,28,284,0.966666666666667,1,6.48056537102473,4.02525252525253
"104","CLE",14,40,20,4,38,324,0.807692307692308,1,6.41055718475073,3.74673202614379
"136","CLE",21,30,16,9,29,279,0.806451612903226,1,7.3234126984127,3.57055214723926
"168","CLE",11,29,28,10,27,268,1,0.916666666666667,6.82430213464696,3.94887525562372
"9","DAL",20,36,28,15,39,348,0.75,0.976744186046512,7.30555555555556,4.18969555035129
"41","DAL",15,42,25,15,39,369,0.888888888888889,1,7.81228070175439,4.31121281464531
"73","DAL",8,35,19,9,37,346,0.935483870967742,1,7.58662613981763,3.56338028169014
"105","DAL",16,32.5,16,8,45,401,0.933333333333333,1,7.2320819112628,4.48511904761905
"137","DAL",18,27,21,6,53,449,0.892857142857143,1,8.42016806722689,4.6240157480315
"169","DAL",7,30,19,7,24,259,0.9375,1,6.97373029772329,4.63981042654028
"10","DEN",10,24,29,12,38,332,0.88,0.974358974358974,7.42413793103448,3.87939698492462
"42","DEN",9,40,29,12,36,303,0.791666666666667,1,6.60416666666667,4.78909090909091
"74","DEN",16,52,17,6,49,427,0.8125,1,7.95748299319728,3.81081081081081
"106","DEN",17,41,27,9,71,576,0.961538461538462,1,8.25481481481481,4.06290672451193
"138","DEN",18,41,16,11,55,458,0.827586206896552,1,7.87314662273476,4.02027027027027
"170","DEN",14,51,16,8,32,317,0.857142857142857,0.972222222222222,6.95709570957096,4.18004866180049
"11","DET",14,42,19,10,37,332,0.833333333333333,0.972222222222222,6.32069510268562,3.99257425742574
"43","DET",20,42,20,11,50,426,0.857142857142857,1,7.61411411411411,4.27808988764045
"75","DET",11,31,23,4,38,362,0.888888888888889,1,6.94189189189189,4.03108808290155
"107","DET",15,33,27,11,42,351,0.863636363636364,1,7.32965299684543,3.97511312217195
"139","DET",21,42,21,12,33,305,0.694444444444444,1,7.07615894039735,3.59090909090909
